N,Time,Algorithm
10000,109,SelectionSort
10000,96,InsertionSort
10000,3,ShellSort
11000,100,SelectionSort
11000,109,InsertionSort
11000,1,ShellSort
12000,116,SelectionSort
12000,134,InsertionSort
12000,1,ShellSort
13000,135,SelectionSort
13000,121,InsertionSort
13000,1,ShellSort
14000,162,SelectionSort
14000,141,InsertionSort
14000,2,ShellSort
15000,266,SelectionSort
15000,162,InsertionSort
15000,2,ShellSort
16000,378,SelectionSort
16000,184,InsertionSort
16000,2,ShellSort
17000,429,SelectionSort
17000,208,InsertionSort
17000,2,ShellSort
18000,478,SelectionSort
18000,243,InsertionSort
18000,3,ShellSort
19000,535,SelectionSort
19000,269,InsertionSort
19000,3,ShellSort
